,overlap_proportion,Condition,Time (min)
572,0.0550765292931382,Isotype Control,60
573,0.0563440688046113,Isotype Control,60
574,0.0564420534330263,Isotype Control,60
575,0.0568101387534888,Isotype Control,60
576,0.0474786353643805,Isotype Control,90
577,0.053264023892035,Isotype Control,90
578,0.107735288982015,Isotype Control,90
579,0.0488768718801996,Isotype Control,90
580,0.0985590952083878,Isotype Control,90
581,0.0471275408507165,Isotype Control,90
582,0.0425531914893617,Isotype Control,90
583,0.0384615384615384,Isotype Control,90
584,0.0482018778060086,Isotype Control,120
585,0.0759018076904269,Isotype Control,120
586,0.076245962086451,Isotype Control,120
587,0.0609238539511065,Isotype Control,120
588,0.0726283008512973,Isotype Control,120
589,0.0727521162434179,Isotype Control,120
590,0.0632359120615819,Isotype Control,120
591,0.0658234491445365,Isotype Control,120
592,0.0526032932418378,Isotype Control,150
593,0.0662060092598265,Isotype Control,150
594,0.0892508078350022,Isotype Control,150
595,0.0042649490817303,Isotype Control,150
596,0.0526528455537251,Isotype Control,150
597,0.0645538861699579,Isotype Control,150
598,0.1762488517216256,Isotype Control,150
599,0.0657441305881167,Isotype Control,150
600,0.0696268576157748,Isotype Control,180
601,0.063908013839863,Isotype Control,180
602,0.0497423841432513,Isotype Control,180
603,0.0721998729621003,Isotype Control,180
604,0.0665222073036172,Isotype Control,180
605,0.0635827039668111,Isotype Control,180
606,0.056537974186748,Isotype Control,180
607,0.0752532128484014,Isotype Control,180
608,0.0788912231368477,Isotype Control,210
609,0.0875239297788277,Isotype Control,210
610,0.0680691551787559,Isotype Control,210
611,0.0287893700787401,Isotype Control,210
612,0.0413266755977753,Isotype Control,210
613,0.163063829787234,Isotype Control,210
614,0.1040931876374914,Isotype Control,210
615,0.0942525559546836,Isotype Control,210
616,0.0663189467537293,Isotype Control,240
617,0.1606001722790921,Isotype Control,240
618,0.0448100065413541,Isotype Control,240
619,0.0776287228858733,Isotype Control,240
620,0.0862288184571283,Isotype Control,240
621,0.1555067428527675,Isotype Control,240
622,0.126907939594008,Isotype Control,240
623,0.084738601575877,Isotype Control,240
624,0.0,Isotype Control,270
625,0.0,Isotype Control,270
626,0.0786581963342919,Isotype Control,270
627,0.0213346001936429,Isotype Control,270
628,0.0721424302994086,Isotype Control,270
629,0.0758727782280266,Isotype Control,270
630,0.0,Isotype Control,270
631,0.0,Isotype Control,270
632,0.0523663059584212,Isotype Control,300
633,0.0810880984241746,Isotype Control,300
634,0.1088503240375543,Isotype Control,300
635,0.1042901256964097,Isotype Control,300
636,0.0697506812909619,Isotype Control,300
637,0.0049177956704112,Isotype Control,300
638,0.0896125191209323,Isotype Control,300
639,0.0841863225040795,Isotype Control,300
640,0.0584504504504504,Isotype Control,30
641,0.0730046948356807,Isotype Control,30
642,0.0471961827812415,Isotype Control,30
643,0.0566428654447695,Isotype Control,30
644,0.0636849399225636,Isotype Control,30
645,0.0580050801834931,Isotype Control,30
646,0.0641826459515884,Isotype Control,30
647,0.0474193330176554,Isotype Control,30
648,0.0501283024323249,Isotype Control,60
649,0.0591913476345664,Isotype Control,60
650,0.0553256120296855,Isotype Control,60
651,0.0369767950233235,Isotype Control,60
652,0.0535733125145063,Isotype Control,60
653,0.0580152482335498,Isotype Control,60
654,0.1060912251994272,Isotype Control,60
655,0.0366660474686709,Isotype Control,60
656,0.0335971782834983,Isotype Control,90
657,0.0383213461697442,Isotype Control,90
658,0.0512240473105864,Isotype Control,90
659,0.077130064870538,Isotype Control,90
660,0.0372089763305558,Isotype Control,90
661,0.0247262663939357,Isotype Control,90
662,0.0407345868496562,Isotype Control,90
663,0.0256461372155381,Isotype Control,90
664,0.0361053328290469,Isotype Control,120
665,0.0348322808530234,Isotype Control,120
666,0.0438445648529682,Isotype Control,120
667,0.096502474014897,Isotype Control,120
668,0.069641596294518,Isotype Control,120
669,0.0364652379180679,Isotype Control,120
670,0.063017370791336,Isotype Control,120
671,0.0653741248414725,Isotype Control,120
672,0.0496146937829538,Isotype Control,150
673,0.1638624836760105,Isotype Control,150
674,0.0471791577509262,Isotype Control,150
675,0.0644203890080334,Isotype Control,150
676,0.0366699561611599,Isotype Control,150
677,0.0344830009910524,Isotype Control,150
678,0.0515931624370697,Isotype Control,150
679,0.0804272194781993,Isotype Control,150
680,0.0388870362215191,Isotype Control,180
681,0.0393226393577572,Isotype Control,180
682,0.160206244556601,Isotype Control,180
683,0.0686453263252834,Isotype Control,180
684,0.0807445132573705,Isotype Control,180
685,0.0853881127003617,Isotype Control,180
686,0.0876098051411384,Isotype Control,180
687,0.0837802650499397,Isotype Control,180
688,0.0928814054567369,Isotype Control,210
689,0.0341361775166624,Isotype Control,210
690,0.0698769007965242,Isotype Control,210
691,0.0342980187717002,Isotype Control,210
692,0.0730382478151841,Isotype Control,210
693,0.0808371222251939,Isotype Control,210
694,0.0802584525357607,Isotype Control,210
695,0.0775197314705615,Isotype Control,210
696,0.064969145508802,Isotype Control,240
697,0.0470180151487876,Isotype Control,240
698,0.0126671358198451,Isotype Control,240
699,0.0381176007423863,Isotype Control,240
700,0.0694489225643505,Isotype Control,240
701,0.0834027937054917,Isotype Control,240
702,0.067066072983907,Isotype Control,240
703,0.0977425578530864,Isotype Control,240
704,0.0707786060709856,Isotype Control,270
705,0.0433073211413593,Isotype Control,270
706,0.1306580608951873,Isotype Control,270
707,0.1013041945717307,Isotype Control,270
708,0.0930519612169204,Isotype Control,270
709,0.0809817000171027,Isotype Control,270
710,0.0777443816157071,Isotype Control,270
711,0.0568918851406354,Isotype Control,270
712,0.0578437439332168,Isotype Control,300
713,0.2946373536059174,Isotype Control,300
714,0.0819539377620767,Isotype Control,300
715,0.0407581575753554,Isotype Control,300
716,0.085287548855388,Isotype Control,300
717,0.0451758631816715,Isotype Control,300
718,0.1240267809591438,Isotype Control,300
719,0.0241935483870967,Isotype Control,300
